Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Sri Lanka,LKA,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.6931908786477
Sri Lanka,LKA,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.6931908786477
Sri Lanka,LKA,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.6931908786477
Sri Lanka,LKA,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.6931908786477
Sri Lanka,LKA,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.8958698772126
Sri Lanka,LKA,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.5337266783607
Sri Lanka,LKA,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.7796204752033
Sri Lanka,LKA,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.0255142720459
Sri Lanka,LKA,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.3809599744857
Sri Lanka,LKA,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.1119438686015
Sri Lanka,LKA,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.9092648700367
Sri Lanka,LKA,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.0255142720459
Sri Lanka,LKA,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.8362302663052
Sri Lanka,LKA,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.7930154680274
Sri Lanka,LKA,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.5697655876256
Sri Lanka,LKA,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.4900334874821
Sri Lanka,LKA,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.4740870674534
Sri Lanka,LKA,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.3943549673098
Sri Lanka,LKA,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.1392122468506
Sri Lanka,LKA,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.1232658268219
Sri Lanka,LKA,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.1073194067932
Sri Lanka,LKA,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.0913729867645
Sri Lanka,LKA,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.0435337266784
Sri Lanka,LKA,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.9956944665922
Sri Lanka,LKA,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.3784085472811
Sri Lanka,LKA,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.3465157072237
Sri Lanka,LKA,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.2986764471376
Sri Lanka,LKA,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.3146228671663
Sri Lanka,LKA,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.2667836070802
Sri Lanka,LKA,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.2189443469941
Sri Lanka,LKA,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.0913729867645
Sri Lanka,LKA,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.9159623664487
Sri Lanka,LKA,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.8521766863339
Sri Lanka,LKA,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.8043374262478
Sri Lanka,LKA,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.6129803859034
Sri Lanka,LKA,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.4581406474247
Sri Lanka,LKA,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.4581406474247
Sri Lanka,LKA,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.6176048477117
Sri Lanka,LKA,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.3717110508691
Sri Lanka,LKA,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.7976399298358
Sri Lanka,LKA,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.2076223887737
Sri Lanka,LKA,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.6176048477117
Sri Lanka,LKA,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.5857120076543
Sri Lanka,LKA,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.4900334874821
Sri Lanka,LKA,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.3943549673098
Sri Lanka,LKA,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.2986764471376
Sri Lanka,LKA,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.2029979269654
Sri Lanka,LKA,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.1232658268219
Sri Lanka,LKA,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.011640886621
Sri Lanka,LKA,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.9591771647265
Sri Lanka,LKA,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.1618561632913
Sri Lanka,LKA,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.3804815818849
