province	division	num	id_list	police_station	lat	lng	phone_mobile	phone_office	fax
Western	Colombo Central	1	LK-1103115	Pettah	6.9364411	79.84979849999999	071-8591555	011-2323677	011-2421515
Western	Colombo Central	2	LK-1103145	Keselwatta	6.934854	79.85893519999999	071-8591556	011-2384091	011-2421944
Western	Colombo Central	3		Dam Street	6.938267499999999	79.8563798	071-8591557	-	011-2432612
Western	Colombo Central	4		Woulfendal	6.9095122	79.89515639999999	071-8591558	-	011-2323356
Western	Colombo Central	5	LK-1103120	Fort	6.933400199999999	79.8428946	071-8591560	011-2432635	011-2433744
Western	Colombo Central	6	LK-1103130	Slave Island	6.927317	79.8490036	071-8591561	011-2384382	011-2433829
Western	Colombo Central	7	LK-1103165	Maradana	6.9279389	79.8654711	071-8591563	011-2692888	011-2692748
Western	Colombo Central	8	LK-1103090,LK-1103155	Maligawatta	6.934132399999999	79.8563053	071-8591564	011-2342041	011-2434135
Western	Colombo North	9		Colombo Harbour	6.9411632	79.84274289999999	071-8591567	011-2328903	011-2320980
Western	Colombo North	10		Fore shore	6.949588899999999	79.8573546	071-8591568	011-2436349	011-2434595
Western	Colombo North	11	LK-1103015	Modara	6.9648458	79.8685442	071-8591570	011-2523058	011-2524411
Western	Colombo North	12	LK-1103045,LK-1103050	Kotahena	6.950878599999999	79.86249579999999	071-8591571	011-2435653	011-2431861
Western	Colombo North	13	LK-1103010	Mattakkuliya	6.9760103	79.8797565	071-8591572	-	011-2521761
Western	Colombo North	14		Bluemandal	6.9330754	79.857181	071-8591573	-	011-2522733
Western	Colombo North	15	LK-1103075,LK-1103080	Grandpass	6.9490522	79.8729828	071-8591575	011-2436258	011-2421414
Western	Colombo North	16	LK-1127030	Dematagoda	6.9303851	79.8771612	071-8591576	011-2693319	011-2693838
Western	Colombo South	17	LK-1127005	Kollupitiya	6.9141145	79.849048	071-8591579	011-2320131	011-2323689
Western	Colombo South	18	LK-1127010	Bambalapitiya	6.8920723	79.8557755	071-8591580	011-2583208	011-2588680
Western	Colombo South	19	LK-1127080	Kirulapone	6.8781222	79.8741591	071-8591582	011-2514634	011-2513531
Western	Colombo South	20	LK-1127085,LK-1127090	Wellawatta	6.8731075	79.86167019999999	071-8591583	011-2364860	011-2588212
Western	Colombo South	21	LK-1127055	Narahenpita	6.891832099999999	79.87671499999999	071-8591584	011-2588638	011-2368242
Western	Colombo South	22		BMICH	6.9095122	79.89515639999999	071-8591586	011-2691140	011-2691132
Western	Colombo South	23	LK-1127045,LK-1127040	Borella	6.9152663	79.8782896	071-8591587	011-2694019	011-2693938
Western	Colombo South	24		Cinnamon Garden	6.9072887	79.86381899999999	071-8591588	011-2693377	011-2695411
Western	Kelaniya	25	LK-1236130,LK-1236135	Peliyagoda	6.9551929	79.8861198	071-8591592	011-2910608	011-2911222
Western	Kelaniya	26	LK-1236,LK-1236160	Kelaniya	6.950251499999999	79.9174586	071-8591593	011-2914666	011-2911922
Western	Kelaniya	27	LK-1221175,LK-1221180	Kandana	7.0488309	79.8974076	071-8591595	011-2236895	011-2236333
Western	Kelaniya	28	LK-1218,LK-1218180	Wattala	6.993713	79.89450610000002	071-8591596	011-2932222	011-2930222
Western	Kelaniya	29	LK-1218080	Mahabage	7.0147396	79.898434	071-8591597	-	011-2948469
Western	Kelaniya	30	LK-1239125	Sapugaskanda	6.970586	79.95358809999999	071-8591599	011-2400316	011-2400315
Western	Kelaniya	31	LK-1239,LK-1239225,LK-1239160,LK-1239220,LK-1239165	Biyagama	6.962283999999999	80.0090367	071-8591600	011-2487306	011-2487574
Western	Kelaniya	32	LK-1236120,LK-1239030,LK-1239025,LK-1230390	Meegahawatta	6.988968	80.000356	071-8591601	-	011-2977233
Western	Kelaniya	33		Ja - Ela	7.0810553	79.8905036	071-8591603	011-2236131	011-2236222
Western	Kelaniya	34	LK-1221270	Ragama	7.0349751	79.9241477	071-8591604	011-2957197	011-2958222
Western	Kelaniya	35	LK-1236025	Kiribathgoda	6.978004599999999	79.929433	071-8591606	011-2910494	011-2914985
Western	Kelaniya	36		Kadawatha	7.0015198	79.95003000000001	071-8591607	011-2925258	011-2925222
Western	Gampaha	37	LK-1224,LK-1224270,LK-1224070,LK-1224130	Gampaha	7.0877653	80.0122797	071-8591611	033-2222226	033-2222224
Western	Gampaha	38	LK-1215,LK-1215125,LK-1215120,LK-1215175	Minuwangoda	7.1742149	79.9578738	071-8591612	011-2295223	011-2295222
Western	Gampaha	39	LK-1230070	Kirindiwela	7.043010799999999	80.1204492	071-8591614	033-2267445	033-2267222
Western	Gampaha	40	LK-1230,LK-1230530	Dompe	6.9491115	80.0577271	071-8591615	011-2409922	011-2409222
Western	Gampaha	41		Pugoda	6.982829799999999	80.1111894	071-8591616	011-2405222	011-2405224
Western	Gampaha	42	LK-1224340,LK-1224335	Ganemulla	7.066803999999999	79.9597508	071-8591618	033-2260911	033-2260222
Western	Gampaha	43		Weeragula	7.0971557	80.0603986	071-8591619	033-2278020	033-2279442
Western	Gampaha	44	LK-1224495,LK-1224490,LK-1224485,LK-1224475	Weliweriya	7.0345099	80.0261137	071-8591620	033-2256105	033-2255222
Western	Gampaha	45	LK-1233080	Malwathuhiripitiya	7.0542877	80.0693652	071-8591621	-	033-2278800
Western	Gampaha	46	LK-1227105,LK-1227100,LK-1227095	Nittambuwa	7.1497258	80.10046009999999	071-8591623	033-2287225	033-2287224
Western	Gampaha	47		Weyangoda	7.1440531	80.09551139999999	071-8591624	033-2287223	033-2287222
Western	Gampaha	48		Meerigama	7.2451692	80.12864739999999	071-8591625	033-2274322	033-2273222
Western	Gampaha	49	LK-1212445	Pallewela	7.197364799999999	80.0948561	071-8592152	033-2271416	033-2271413
Western	Gampaha	50	LK-1224300,LK-1224305,LK-1224290,LK-1224280	Yakkala	7.0766215	80.0206546	071-8592153	-	033-2225924
Western	Negombo	51	LK-1203	Negombo	7.2247964	79.88001469999999	071-8591630	031-2224289	031-2222222
Western	Negombo	52	LK-1103055,LK-1103110	Kochchikade	7.265049400000001	79.8570264	071-8591631	031-2276338	031-2277222
Western	Negombo	53	LK-1306130	Pamunugama	7.0788917	79.8596955	071-8591633	011-2243494	011-2236340
Western	Negombo	54	LK-1209210	Kotadeniyawa	7.2836433	80.0664895	071-8591634	033-2240050	033-2272222
Western	Negombo	55		Diulapitiya	7.1742149	79.9578738	071-8591635	031-2247256	031-2246222
Western	Negombo	56	LK-1206330	Seeduwa	7.1287213	79.8773709	071-8591637	011-2253522	011-2253522
Western	Negombo	57	LK-1206300,LK-1206305,LK-1206310,LK-1206315	Raddolugama	7.140613200000001	79.90024919999999	071-8591638	-	011-2292857
Western	Negombo	58	LK-1206230,LK-1206225	Katunayaka	7.1658979	79.88260729999999	071-8591639	011-2252223	011-2252222
Western	Negombo	60	LK-1206,LK-1206035,LK-1206040,LK-1206030	Katana	7.2247964	79.88001469999999	071-8591710	031-2227740	031-2227735
Western	Negombo	61	LK-1203185	Dungalpitiya	7.139226499999999	79.8335427	071-8592186	031-2230889	031-2230888
Western	Nugegoda	62	LK-1121005,LK-1121010	Mirihana	6.8737138	79.9017235	071-8591644	011-2854853	011-2828566
Western	Nugegoda	63	LK-1121,LK-1121110,LK-1121105,LK-1121165	Maharagama	6.8454219	79.92892839999999	071-8591645	011-2850700	011-2850222
Western	Nugegoda	64	LK-1136055,LK-1136050,LK-1136065,LK-1136030,LK-1136035	Boralesgamuwa	6.8413308	79.9012553	071-8591646	011-2150779	011-2509461
Western	Nugegoda	65	LK-1106100	Wellampitiya	6.937514299999999	79.89629819999999	071-8591648	011-2695719	011-2572222
Western	Nugegoda	66	LK-1109150,LK-1109135	Thalangama	6.9108901	79.9293251	071-8591649	011-2789249	011-2788079
Western	Nugegoda	67	LK-1124015,LK-1124025,LK-1124010	Welikada	6.9095122	79.89515639999999	071-8591650	011-2864060	011-2862522
Western	Nugegoda	68	LK-1109040,LK-1109085	Nawagamuwa	6.9251691	80.0172066	071-8591652	011-2415212	011-2415222
Western	Nugegoda	69	LK-1106075,LK-1106145	Mulleriyawa	6.9271866	79.92910789999999	071-8591653	-	011-2578279
Western	Nugegoda	70	LK-1112,LK-1112120,LK-1112125,LK-1112140,LK-1112115,LK-1112135	Homagama	6.8361548	80.0034745	071-8591655	011-2855211	011-2855222
Western	Nugegoda	71	LK-1121035,LK-1121060,LK-1121130,LK-1121155,LK-1121125	Kottawa	6.8413325	79.9635531	071-8591656	-	011-2782760
Western	Nugegoda	72	LK-1109205,LK-1109285	Athurugiriya	6.872311499999999	79.9961062	071-8591657	011-2561202	011-2561222
Western	Nugegoda	73	LK-1118,LK-1118090	Padukka	6.842194999999999	80.09247049999999	071-8591659	011-2859110	011-2859027
Western	Nugegoda	74	LK-1115205	Hanwella	6.900815499999999	80.0874955	071-8591660	036-2253982	036-2255222
Western	Nugegoda	75	LK-1106200,LK-1106190	Gothatuwa	6.9226166	79.9134752	071-8592154	011-2411131	011-2411146
Western	Nugegoda	76		Meepe	6.854507799999999	80.0544421	071-8592179	-	011-2175450
Western	Mount Lavinia	77	LK-1131005	Mount Lavinia	6.8250065	79.87009019999999	071-8591664	011-2729622	011-2738351
Western	Mount Lavinia	78		Piliyandala	6.8021493	79.9225651	071-8591665	011-2614258	011-2614222
Western	Mount Lavinia	79	LK-1133005,LK-1133055	Angulana	6.8057748	79.869788	071-8591666	-	011-2626357
Western	Mount Lavinia	80	LK-1130,LK-1130045,LK-1130040	Dehiwala	6.850087599999999	79.8716965	071-8591668	011-2713322	011-2738222
Western	Mount Lavinia	81	LK-1130020	Kohuwala	6.8673173	79.8836484	071-8591669	011-2853929	011-2852621
Western	Mount Lavinia	82	LK-1133	Moratuwa	6.7729491	79.8850477	071-8591671	011-2645215	011-2645222
Western	Mount Lavinia	83	LK-1112370,LK-1112365,LK-1112375,LK-1112340	Kahathuduwa	6.7831484	79.9860139	071-8591672	011-2705544	011-2705233
Western	Mount Lavinia	84	LK-1133135,LK-1133140,LK-1133100	Moratumulla	6.787303499999999	79.89506469999999	071-8591673	-	011-2653143
Western	Mount Lavinia	85		Egoda Uyana	6.725967700000001	79.90114489999999	071-8592180	-	011-2659796
Western	Panadura	86		Panadura South	6.7209414	79.9073149	071-8591677	038-2232576	038-2232222
Western	Panadura	87		Panadura North	6.7496727	79.9002474	071-8591678	038-2297804	038-2233204
Western	Panadura	88	LK-1303325,LK-1303345,LK-1303320	Wadduwa	6.6644027	79.9298512	071-8591679	038-2284855	038-2232522
Western	Panadura	89	LK-1306,LK-1306195,LK-1306190,LK-1306235	Bandaragama	6.7151786	79.98767420000001	071-8591681	038-2293922	038-2290222
Western	Panadura	90		Anguruwatota	6.654997400000001	80.05818289999999	071-8591682	034-2251420	034-2251344
Western	Panadura	91	LK-1318,LK-1318050	Millaniya	6.681692099999999	80.0208468	071-8591683	034-2252722	034-2252222
Western	Panadura	92	LK-1309,LK-1309260,LK-1309280,LK-1309305	Horana	6.7146133	80.0690912	071-8591685	034-2261223	034-2261222
