gnd_id	name	province_id	district_id	dsd_id	pd_id	gnd_num	lat	lng	ps_id	ps_name	distance
LK-9103141	Amuhenkanda	LK-9	LK-91	LK-9103	EC-21A	146A	6.839661757575758	80.29120842424244	PS-910113	Ehaliyagoda	3.7820054674773402
LK-9103143	Pathberiya	LK-9	LK-91	LK-9103	EC-21A	127	6.837128041420117	80.32670533727809	PS-910113	Ehaliyagoda	7.571231855260458
LK-9109051	Karandana South	LK-9	LK-91	LK-9109	EC-21A	143A	6.781259789772734	80.22255238068176	PS-910114	Kiriella	7.84687774795468
LK-5230105	Ninthavur 21	LK-5	LK-52	LK-5230	EC-13C	37F	7.342155647058824	81.84905317647059	PS-520124	Samanthurai	4.965927403106212
LK-8230020	Hambegamuwa	LK-8	LK-82	LK-8230	EC-20C	149	6.509680958092493	80.91607157803459	PS-820132	Hambegamuwa	5.3364683608185155
LK-5124040	Kattankudy Division 3	LK-5	LK-51	LK-5124	EC-12C	165	7.6807587999999996	81.7267348	PS-510103	Kaththankudi	4.985734419656244
LK-5218070	Sammanthurai 10	LK-5	LK-52	LK-5218	EC-13B	92B	7.368287176470589	81.79906899999997	PS-520124	Samanthurai	1.3300309254271208
LK-7203010	Galoya	LK-7	LK-72	LK-7203	EC-18A	32	8.143617895569642	80.83272852848103	PS-720131	Habarana	14.295967535343227
LK-4206075	Vidathaltheevu West	LK-4	LK-42	LK-4206	EC-11A	10	9.011310280653944	80.04208980653951	PS-420138	Mannar	14.799040005263077
LK-2224170	Etanwala	LK-2	LK-22	LK-2224	EC-05B	E386	7.4765900197802155	80.77135832967024	PS-220125	Laggala	10.767011336623943
LK-2224125	Rawanagama	LK-2	LK-22	LK-2224	EC-05B	E397A	7.542618315789475	80.86516678947366	PS-220125	Laggala	3.37074109258062
LK-5233030	Oluvil 03	LK-5	LK-52	LK-5233	EC-13D	AD/35C	7.287646125000001	81.8614117916667	PS-520126	Akkaraipattu	8.010531355295813
LK-5239055	Akkaraipattu 7/3	LK-5	LK-52	LK-5239	EC-13D	AV/07	7.212497055555556	81.84097055555556	PS-520126	Akkaraipattu	1.4129909003488252
LK-5215020	Gemunupura	LK-5	LK-52	LK-5215	EC-13A	W/89G	7.3019968666666655	81.66332086666665	PS-520113	Ampara	1.633880921905858
LK-5233010	Oluvil 01	LK-5	LK-52	LK-5233	EC-13D	AD/35	7.288221449404771	81.8153153690476	PS-520124	Samanthurai	8.641376754188316
LK-5130015	Munaikkadu East	LK-5	LK-51	LK-5130	EC-12C	133	7.626568166666668	81.70721788888892	PS-510103	Kaththankudi	9.988808892685801
LK-5242155	Wadinagala	LK-5	LK-52	LK-5242	EC-13D	W/26	7.11457280130292	81.5639116824104	PS-520115	Inginiyagala	11.956259197557083
LK-5203020	Kadirapura	LK-5	LK-52	LK-5203	EC-13A	142N	7.664412410163334	81.09672489292184	PS-520121	Dehiaththakandiya	5.847963138315805
LK-5203025	Mawanagama	LK-5	LK-52	LK-5203	EC-13A	142I	7.636848563510394	81.06636430715935	PS-520121	Dehiaththakandiya	4.614962647597792
LK-5203050	Paranagama	LK-5	LK-52	LK-5203	EC-13A	142C	7.566188076062621	81.06360875615212	PS-520121	Dehiaththakandiya	11.969446957448373
LK-5203005	Rideela	LK-5	LK-52	LK-5203	EC-13A	142L	7.696013362110292	81.02730471462833	PS-520121	Dehiaththakandiya	3.2522096301270853
LK-5203045	Sandunpura	LK-5	LK-52	LK-5203	EC-13A	142E	7.595392315555551	81.09072439777785	PS-520121	Dehiaththakandiya	9.950160551436026
LK-5203065	Wewmedagama	LK-5	LK-52	LK-5203	EC-13A	142A	7.534594983263595	81.04016899372388	PS-520121	Dehiaththakandiya	15.298134557196361
LK-5218110	Veeramunai 03	LK-5	LK-52	LK-5218	EC-13B	92I	7.368488533333332	81.795193	PS-520124	Samanthurai	1.7541210946298251
LK-5209005	Bogamuyaya	LK-5	LK-52	LK-5209	EC-13A	144B/1	7.634676655882351	81.30255309411757	PS-520120	Mahaoya	12.959306036715287
LK-5209050	Borapola	LK-5	LK-52	LK-5209	EC-13A	136A/1	7.500325728155336	81.39610065048538	PS-520120	Mahaoya	5.55866374380726
LK-5209055	Kelavinna	LK-5	LK-52	LK-5209	EC-13A	136	7.503582344186039	81.36988163255806	PS-520120	Mahaoya	3.4040171620494535
LK-5209010	Tempitiya	LK-5	LK-52	LK-5209	EC-13A	145	7.617352721706867	81.39112025788512	PS-520120	Mahaoya	10.328953305075437
LK-5230065	Ninthavur 18	LK-5	LK-52	LK-5230	EC-13C	37D	7.347918428571431	81.84854321428573	PS-520124	Samanthurai	4.607684677257967
LK-5206100	Komana	LK-5	LK-52	LK-5206	EC-13A	139B	7.314630944839856	81.31486644128117	PS-520122	Padiyathalawa	12.43206125834419
LK-5124045	Kattankudy Division 3 West	LK-5	LK-51	LK-5124	EC-12C	165A	7.680313681818183	81.72246409090909	PS-510103	Kaththankudi	4.75037585681724
LK-5218215	Malkampiddy	LK-5	LK-52	LK-5218	EC-13B	82	7.31840956652359	81.79665789270379	PS-520124	Samanthurai	5.497514002679398
LK-5133030	Maavelkuda	LK-5	LK-51	LK-5133	EC-12C	107D	7.559487341597788	81.75415580440772	PS-510110	Kalawanchikudy	6.054260702498589
LK-5112025	Mavadivembu 2	LK-5	LK-51	LK-5112	EC-12B	197E	7.81779025	81.56513160000002	PS-510107	Valachchanai	10.641772474169807
LK-5103045	Panichchankerny	LK-5	LK-51	LK-5103	EC-12A	211C	8.094509941653149	81.42957977471642	PS-510107	Valachchanai	23.66595139578197
LK-5118225	Navatkudah East	LK-5	LK-51	LK-5118	EC-12C	168C	7.695785000000001	81.72275785714285	PS-510103	Kaththankudi	3.470426096097404
LK-5306005	Thennaimaravady	LK-5	LK-53	LK-5306	EC-14B	31 E	8.955427853115724	80.91496374777444	PS-530136	Sripura	11.429367325218097
LK-5306030	Thiriyai	LK-5	LK-53	LK-5306	EC-14B	237	8.901552633663364	81.01468851881212	PS-530133	Kuchchaweli	13.161664009627982
LK-5327015	Navarathnapuram	LK-5	LK-53	LK-5327	EC-14C	221A	8.490280844444435	81.33408311965816	PS-530138	Mutur	8.835801258357796
LK-5315195	Manayaweli	LK-5	LK-53	LK-5315	EC-14B	244F	8.559147171021374	81.23687379809965	PS-530130	Trincomalee	0.6190354405555057
