province	province_id	division	ps_id	num	name	lat	lng	phone_mobile	phone_office	fax
Western	LK-1	Colombo Central	PS-1001	1	Pettah	6.9364411	79.84979849999999	071-8591555	011-2323677	011-2421515
Western	LK-1	Colombo Central	PS-1002	2	Keselwatta	6.934854	79.85893519999999	071-8591556	011-2384091	011-2421944
Western	LK-1	Colombo Central	PS-1003	3	Dam Street	6.938267499999999	79.8563798	071-8591557	-	011-2432612
Western	LK-1	Colombo Central	PS-1004	4	Woulfendal	6.9095122	79.89515639999999	071-8591558	-	011-2323356
Western	LK-1	Colombo Central	PS-1005	5	Fort	6.933400199999999	79.8428946	071-8591560	011-2432635	011-2433744
Western	LK-1	Colombo Central	PS-1006	6	Slave Island	6.927317	79.8490036	071-8591561	011-2384382	011-2433829
Western	LK-1	Colombo Central	PS-1007	7	Maradana	6.9279389	79.8654711	071-8591563	011-2692888	011-2692748
Western	LK-1	Colombo Central	PS-1008	8	Maligawatta	6.934132399999999	79.8563053	071-8591564	011-2342041	011-2434135
Western	LK-1	Colombo North	PS-1009	9	Colombo Harbour	6.9411632	79.84274289999999	071-8591567	011-2328903	011-2320980
Western	LK-1	Colombo North	PS-1010	10	Fore shore	6.949588899999999	79.8573546	071-8591568	011-2436349	011-2434595
Western	LK-1	Colombo North	PS-1011	11	Modara	6.9648458	79.8685442	071-8591570	011-2523058	011-2524411
Western	LK-1	Colombo North	PS-1012	12	Kotahena	6.950878599999999	79.86249579999999	071-8591571	011-2435653	011-2431861
Western	LK-1	Colombo North	PS-1013	13	Mattakkuliya	6.9760103	79.8797565	071-8591572	-	011-2521761
Western	LK-1	Colombo North	PS-1014	14	Bluemandal	6.9330754	79.857181	071-8591573	-	011-2522733
Western	LK-1	Colombo North	PS-1015	15	Grandpass	6.9490522	79.8729828	071-8591575	011-2436258	011-2421414
Western	LK-1	Colombo North	PS-1016	16	Dematagoda	6.9303851	79.8771612	071-8591576	011-2693319	011-2693838
Western	LK-1	Colombo South	PS-1017	17	Kollupitiya	6.9141145	79.849048	071-8591579	011-2320131	011-2323689
