date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2012-07-15,Wheat flour - Retail,KG,cereals and tubers,93.27,LKR,Sri Lanka,,0,National Average,1565,58,15,5,1,1565_58_15_5,
2012-08-15,Wheat flour - Retail,KG,cereals and tubers,93.33,LKR,Sri Lanka,,0,National Average,1565,58,15,5,1,1565_58_15_5,
2012-09-15,Wheat flour - Retail,KG,cereals and tubers,93.26,LKR,Sri Lanka,,0,National Average,1565,58,15,5,1,1565_58_15_5,
2012-10-15,Wheat flour - Retail,KG,cereals and tubers,93.36,LKR,Sri Lanka,,0,National Average,1565,58,15,5,1,1565_58_15_5,
2012-11-15,Wheat flour - Retail,KG,cereals and tubers,98.78,LKR,Sri Lanka,,0,National Average,1565,58,15,5,1,1565_58_15_5,
2012-12-15,Wheat flour - Retail,KG,cereals and tubers,98.68,LKR,Sri Lanka,,0,National Average,1565,58,15,5,1,1565_58_15_5,
2013-01-15,Wheat flour - Retail,KG,cereals and tubers,98.74,LKR,Sri Lanka,,0,National Average,1565,58,15,5,1,1565_58_15_5,
2013-02-15,Wheat flour - Retail,KG,cereals and tubers,99.1,LKR,Sri Lanka,,0,National Average,1565,58,15,5,1,1565_58_15_5,
2013-03-15,Wheat flour - Retail,KG,cereals and tubers,98.2,LKR,Sri Lanka,,0,National Average,1565,58,15,5,1,1565_58_15_5,
2013-04-15,Wheat flour - Retail,KG,cereals and tubers,99.66,LKR,Sri Lanka,,0,National Average,1565,58,15,5,1,1565_58_15_5,
2013-05-15,Wheat flour - Retail,KG,cereals and tubers,98.66,LKR,Sri Lanka,,0,National Average,1565,58,15,5,1,1565_58_15_5,
2013-06-15,Wheat flour - Retail,KG,cereals and tubers,98.2,LKR,Sri Lanka,,0,National Average,1565,58,15,5,1,1565_58_15_5,
2013-07-15,Wheat flour - Retail,KG,cereals and tubers,97.52,LKR,Sri Lanka,,0,National Average,1565,58,15,5,1,1565_58_15_5,
2013-08-15,Wheat flour - Retail,KG,cereals and tubers,98.1,LKR,Sri Lanka,,0,National Average,1565,58,15,5,1,1565_58_15_5,
2013-09-15,Wheat flour - Retail,KG,cereals and tubers,98.2,LKR,Sri Lanka,,0,National Average,1565,58,15,5,1,1565_58_15_5,
2012-07-15,Sugar - Retail,KG,miscellaneous food,102.86,LKR,Sri Lanka,,0,National Average,1565,97,15,5,7,1565_97_15_5,
2012-08-15,Sugar - Retail,KG,miscellaneous food,106.29,LKR,Sri Lanka,,0,National Average,1565,97,15,5,7,1565_97_15_5,
