data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
7220747,144,SRI4307,4307,2020-09-12,2020,1,Protests,Peaceful protest,Protesters (Sri Lanka),,6,,,0,60,South Asia,Sri Lanka,Western,Colombo,Homagama,Homagama,6.8440,80.0024,1,Hiru News,National,"On 12 September 2020, people protested at Homagama town (Homagama, Colombo district) over not receiving deeds for their houses they had purchased. [size=no report]",0,1600187394,LKA
7221032,144,SRI4309,4309,2020-09-10,2020,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labour Group (Sri Lanka),6,,,0,60,South Asia,Sri Lanka,Central,Nuwara Eliya,Ambagamuwa,Maskeliya,6.8333,80.5722,1,Virakesari,National,"On 10 September 2020, 120 plantation workers protested at Maskeliya town (Ambagamuwa, Nuwara Eliya district) over the reduction of full-time pay to half-pay for working days. [size=120]",0,1600187395,LKA
7220847,144,SRI4305,4305,2020-09-10,2020,1,Protests,Peaceful protest,Protesters (Sri Lanka),,6,,,0,60,South Asia,Sri Lanka,Western,Colombo,Moratuwa,Egoda Uyana,6.7350,79.8942,1,News1st (Sri Lanka),National,"On 10 September 2020, residents protested at Egoda Uyana town (Moratuwa, Colombo district) to demand construction of a drainage system to drain water during the rainy season. [size=no report]",0,1600187394,LKA
7220433,144,SRI4306,4306,2020-09-10,2020,1,Protests,Peaceful protest,Protesters (Sri Lanka),Prisoners (Sri Lanka),6,,,0,60,South Asia,Sri Lanka,Southern,Galle,Galle Four Gravets,Galle,6.0367,80.2170,1,Ada Derana; Daily Mirror (Sri Lanka),National,"On 10 September 2020, 40 prison inmates protested during a hunger strike at Galle city (Galle district) against search operations, restriction of visitors and removal of telephone facilities amidst the coronavirus pandemic. [size=40]",0,1600187393,LKA
7220748,144,SRI4312,4312,2020-09-09,2020,1,Protests,Peaceful protest,Protesters (Sri Lanka),,6,,,0,60,South Asia,Sri Lanka,Southern,Galle,Yakkalamulla,Yakkalamulla,6.1098,80.3454,1,Hiru News,National,"On 9 September 2020, locals protested at Yakkalamulla city (Yakkalamulla, Galle district) over a quarry causing damage to their homes. [size=no report]",0,1600187394,LKA
7220765,144,SRI4303,4303,2020-09-09,2020,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labour Group (Sri Lanka),6,,,0,60,South Asia,Sri Lanka,Western,Colombo,Colombo,Colombo,6.9319,79.8478,1,Morning (Sri Lanka),National,"On 9 September 2020, bank employees protested at Colombo city (Colombo district) to demand that the government abide by the policy of limiting training period to two years. [size=no report]",0,1600187394,LKA
7220766,144,SRI4304,4304,2020-09-09,2020,1,Protests,Peaceful protest,Protesters (Sri Lanka),Students (Sri Lanka),6,,,0,60,South Asia,Sri Lanka,Western,Colombo,Colombo,Colombo,6.9319,79.8478,1,Morning (Sri Lanka),National,"On 9 September 2020, graduate association staged a protest at Colombo city (Colombo district) to demand that the recruitment be carried out in a transparent manner. [size=no report]",0,1600187394,LKA
7221033,144,SRI4308,4308,2020-09-09,2020,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labour Group (Sri Lanka),6,,,0,60,South Asia,Sri Lanka,Central,Nuwara Eliya,Ambagamuwa,Maskeliya,6.8333,80.5722,1,Virakesari,National,"On 9 September 2020, 120 plantation workers protested at Maskeliya town (Ambagamuwa, Nuwara Eliya district) over the reduction of full-time pay to half-pay for working days. [size=120]",0,1600187395,LKA
7220432,144,SRI4301,4301,2020-09-09,2020,1,Riots,Violent demonstration,Rioters (Sri Lanka),,5,Police Forces of Sri Lanka (2019-),,1,15,South Asia,Sri Lanka,Western,Kalutara,Bandaragama,Bandaragama,6.7144,79.9880,1,Virakesari; Ada Derana,National,"On 9 September 2020, locals pelted stones and attacked a police vehicle at Bandaragama town (Bandaragama, Kalutara district) over arrest of a person who was into cannabis cultivation. Four policemen were injured in the violent demonstration. [size=no report]",0,1600187393,LKA
7220434,144,SRI4310,4310,2020-09-09,2020,1,Protests,Peaceful protest,Protesters (Sri Lanka),Fishermen (Sri Lanka),6,,,0,60,South Asia,Sri Lanka,Northern,Mannar,Mannar,Pesalai West,9.0833,79.8167,1,Thinakkural; Hiru News,National,"On 9 September 2020, fishermen protested and held a shut down at Pesalai west town (Mannar, Northern district) over poaching by Indian fishermen. [size=no report]",0,1600187393,LKA
7220746,144,SRI4302,4302,2020-09-08,2020,1,Protests,Peaceful protest,Protesters (Sri Lanka),JO: Joint Opposition; UPFA: United People's Freedom Alliance,6,,,0,60,South Asia,Sri Lanka,Western,Colombo,Colombo,Colombo,6.9319,79.8478,1,Hiru News,National,"On 8 September 2020, various political and civil society organization members led by the leader of opposition of the UPFA alliance protested at Colombo city (Colombo district) against the 20th amendment today. [size=no report]",0,1600187394,LKA
7221034,144,SRI4311,4311,2020-09-07,2020,1,Riots,Mob violence,Rioters (Sri Lanka),,5,Civilians (Sri Lanka),Health Workers (Sri Lanka),7,57,South Asia,Sri Lanka,Northern,Jaffna,Vadamaradchy North,Point Pedro,9.8166,80.2333,1,Virakesari,National,"On 7 September 2020, relatives of a deceased person assaulted medical staff at Point Pedro city (Vadamaradchy North, Jaffna district) over declaring the patient dead. [size=no report]",0,1600187395,LKA
7197600,144,SRI4300,4300,2020-09-03,2020,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labour Group (Sri Lanka),6,,,0,60,South Asia,Sri Lanka,Western,Colombo,Colombo,Colombo,6.9319,79.8478,1,Hiru News; Morning (Sri Lanka),National,"On 3 September 2020, members of a dengue eradication group and foreign graduates protested at Colombo city (Colombo district) to demand immediate confirmation of the field officer for dengue control. [size=no report]",0,1599602148,LKA
7198728,144,SRI4295,4295,2020-09-02,2020,1,Protests,Peaceful protest,Protesters (Sri Lanka),Labour Group (Sri Lanka),6,,,0,60,South Asia,Sri Lanka,Central,Kandy,Minipe,Hasalaka,7.3497,80.9524,1,Hiru News,National,"On 2 September 2020, a group of businessmen staged a protest at Hasalaka town (Minipe, Kandy district) over not being able to obtain loans from the central bank from the concessionary loan scheme. [size=no report]",0,1599602150,LKA
