Row (On IRD Website),Name of the Charitable Institute ,Website,Gazette No ,Gazette Date,Donate Offline,Donate Online
17,St. Joseph’s Educational Foundation for the Hearing Impaired,https://www.candleaid.org/our-projects/completed-projects/st-josephs-school-for-the-hearing-impaired/,1554,13.06.2008,YES,YES
71,​HelpAge Sri Lanka,https://www.helpagesl.org/,​497,​11.03.1988,YES,YES
62,Prithipura Infants Home,https://www.prithipura.org/,7/1638,22.01.2010,YES,YES
2,Sri Lanka Cancer Society,https://www.slcs.lk/,,,YES,YES
49,SOS Children’s Villages Sri Lanka,https://www.soschildrensvillages.lk/,496,04.03.1988,YES,YES
11,"Seemasahitha Matara, Arogya Seva Samithiya",http://arogyasewa.org/,14797,11.04.1968,YES,
79,Canadapura Children’s Home,http://canadapura.com/Projects/CanadapuraVillage,71072,23.10.2018,YES,
54,Siyane Korale East – Social Service League  Obesekara Elders Home,http://www.achome.lk/,1337,16.04.2004,YES,
81,Centre For Handicapped,http://www.cfhsrilanka.org/,2144/23,09.10.2018,YES,
25,Udaya Children’s home,http://www.udayalamanivasaya.org/,1313,31.10.2003,YES,
4,Colombo Friend-in-Need Society,https://cfins.org/,"D.S.221/50, No. 84/3/11 (ET/DO)",11.12.1951,YES,
19,Colombo Young Men’s Buddhist Association,https://colomboymba.org/,Chapter 399 ordinance - 11,29.09.1927,YES,
72,​Hospital Services Council,https://hsclk.org/,​458,12.06.1987​,YES,
22,Sri Lankadhara Society Limited,https://srilankadhara.org/,10596,09.10.1953,YES,
68,The Ceylon Moor Ladies Union,https://www.cmlu.lk/,305,17.02.1978,YES,
5,FRIDSRO Children's Home,https://www.facebook.com/FridsroSriLanka,143,29.05.1981,YES,
23,YMBA Maharagama,https://www.ymbamaharagama.org/,1299,25.07.2003,YES,
58,Kandy Friend-in-need society,http://kandyfriendinneed.blogspot.com/,,,,
77,​Ethanamadala Sahana Elders Home,http://sahanaudaya.org/,​2127/14,12.06.2019,,
33,Sri Lanka Technical Institute & Diyagala Boy’s town,http://www.diyagalaboystown.slt.lk/,14860,27.06.1969,,
21,Moors” Islamic Cultural Home,http://www.michsl.org/,10490,23.01.1953,,
14,Sahanoda Elders Home,http://www.sahanaudaya.org/,31 (7) (a) I R Act,04.04.2001,,
6,Sisters of Charity of Jesus and Mary,http://www.scjm.lk/,833,19.081994,,
24,Kanadarawa Thapowana Vihara Building Fund,http://www.thapowanaya.org/,,,,
51,Hindu Bord of Education,http://www.thehinduboard.org/,10857,04.11.1955,,
35,The Brave Hearts Fund of the Seva Vanitha Army Unit,https://alt.army.lk/sevavanitha/,1698,18.03.2011,,
80,Cancer Care Association - Sri Lanka,https://cancercaresl.com/,2142/81,27.09.2019,,
16,Sudaya Trust,https://dayamina.weebly.com/about.html,07/624,30.07.1993,,
75,​Moratuwa Social Service Society (Elders Home),https://homeforelders.wordpress.com/contact-us/,​1982/39,02.09.2016,,
