company_name,symbol,price,issued_quantity,market_cap,gics_type
CEYLON TOBACCO COMPANY PLC,CTC.N0000,970.00,187323751.00,181704000000.00,Food_ Beverage & Tobacco
JOHN KEELLS HOLDINGS PLC,JKH.N0000,131.30,1318550768.00,173126000000.00,Capital Goods
DIALOG AXIATA PLC,DIAL.N0000,11.00,8173809105.00,89911900155.00,Telecommunication Services
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,76.30,1098934937.00,83848735693.00,Banks
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,18.20,4600000000.00,83720000000.00,Food_ Beverage & Tobacco
CEYLON COLD STORES PLC,CCS.N0000,667.40,95040000.00,63429696000.00,Food_ Beverage & Tobacco
LOLC HOLDINGS PLC,LOLC.N0000,122.70,475200000.00,58307040000.00,Diversified Financials
NESTLE LANKA PLC,NEST.N0000,1080.00,53725463.00,58023500040.00,Food_ Beverage & Tobacco
SRI LANKA TELECOM PLC,SLTL.N0000,31.70,1804860000.00,57214062000.00,Telecommunication Services
CARSON CUMBERBATCH PLC,CARS.N0000,288.00,196386914.00,56559431232.00,Food_ Beverage & Tobacco
HATTON NATIONAL BANK PLC,HNB.N0000,120.00,410319604.00,49238352480.00,Banks
CARGILLS (CEYLON) PLC,CARG.N0000,185.30,257221043.00,47663059267.00,Food & Staples Retailing
SAMPATH BANK PLC,SAMP.N0000,124.80,381457985.00,47605956528.00,Banks
LION BREWERY CEYLON PLC,LION.N0000,550.00,80000000.00,44000000000.00,Food_ Beverage & Tobacco
HEMAS HOLDINGS PLC,HHL.N0000,72.00,596043425.00,42915126600.00,Capital Goods
BUKIT DARAH PLC,BUKI.N0000,395.00,102000000.00,40290000000.00,Food_ Beverage & Tobacco
BROWNS INVESTMENTS PLC,BIL.N0000,2.60,14369717460.00,37361265396.00,Food_ Beverage & Tobacco
MELSTACORP PLC,MELS.N0000,31.60,1165397072.00,36826547475.00,Food_ Beverage & Tobacco
CEYLINCO INSURANCE PLC,CINS.N0000,1750.20,20000000.00,35004000000.00,Insurance
C T HOLDINGS PLC,CTHR.N0000,159.50,201406978.00,32124412991.00,Food & Staples Retailing
COMMERCIAL LEASING & FINANCE PLC,CLC.N0000,4.90,6377711170.00,31250784733.00,Diversified Financials
EXPOLANKA HOLDINGS PLC,EXPO.N0000,15.70,1954915000.00,30692165500.00,Transportation
RICHARD PIERIS AND COMPANY PLC,RICH.N0000,13.50,2035038275.00,27473016712.00,Capital Goods
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,23.20,1137533596.00,26390779427.00,Health Care Equipment & Services
VALLIBEL ONE PLC,VONE.N0000,22.00,1086559353.00,23904305766.00,Capital Goods
ACCESS ENGINEERING PLC,AEL.N0000,23.00,1000000000.00,23000000000.00,Capital Goods
TEEJAY LANKA PLC,TJL.N0000,32.60,701956580.00,22883784508.00,Consumer Durables & Apparel
PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,12.50,1627703388.00,20346292350.00,Diversified Financials
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,84.20,240000000.00,20208000000.00,Materials
LOLC FINANCE PLC,LOFC.N0000,3.80,5250000000.00,19950000000.00,Diversified Financials
HAYLEYS PLC,HAYL.N0000,265.00,75000000.00,19875000000.00,Capital Goods
DFCC BANK PLC,DFCC.N0000,63.80,305997250.00,19522624550.00,Banks
NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,81.90,232637231.00,19052989218.00,Banks
L B FINANCE PLC,LFIN.N0000,136.90,138514284.00,18962605479.00,Diversified Financials
UNION ASSURANCE PLC,UAL.N0000,305.00,58928572.00,17973214460.00,Insurance
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,77.00,224024987.00,17249923999.00,Diversified Financials
SINGER (SRI LANKA) PLC,SINS.N0000,45.30,375628830.00,17015985999.00,Retailing
OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,13.10,1243029582.00,16283687524.00,Real Estate
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,769.50,20988090.00,16150335255.00,Food_ Beverage & Tobacco
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,60.00,267300000.00,16038000000.00,Materials
HNB FINANCE PLC,HNBF.N0000,11.10,1421380624.00,15777324926.00,Diversified Financials
ASIAN HOTELS & PROPERTIES PLC,AHPL.N0000,34.80,442775300.00,15408580440.00,Consumer Services
AITKEN SPENCE PLC,SPEN.N0000,37.00,405996045.00,15021853665.00,Capital Goods
NATIONS TRUST BANK PLC,NTB.N0000,59.50,244878841.00,14570291039.00,Banks
DIPPED PRODUCTS PLC,DIPD.N0000,238.50,59861512.00,14276970612.00,Materials
BROWN & COMPANY PLC,BRWN.N0000,65.40,212625000.00,13905675000.00,Capital Goods
DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,669.50,20737500.00,13883756250.00,Food_ Beverage & Tobacco
LANKA IOC PLC,LIOC.N0000,24.50,532465705.00,13045409772.00,Energy
ROYAL CERAMICS LANKA PLC,RCL.N0000,116.30,110789384.00,12884805359.00,Capital Goods
SOFTLOGIC HOLDINGS PLC,SHL.N0000,10.70,1192543209.00,12760212336.00,Capital Goods
SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,33.00,375000000.00,12375000000.00,Insurance
TRANS ASIA HOTELS PLC,TRAN.N0000,60.00,200000000.00,12000000000.00,Consumer Services
JOHN KEELLS HOTELS PLC,KHL.N0000,8.10,1456146780.00,11794788918.00,Consumer Services
UNION BANK OF COLOMBO PLC,UBC.N0000,10.80,1083558338.00,11702430050.00,Banks
SEYLAN BANK PLC,SEYB.N0000,45.00,256716994.00,11552264730.00,Banks
NAWALOKA HOSPITALS PLC,NHL.N0000,7.20,1409505596.00,10148440291.00,Health Care Equipment & Services
THE LANKA HOSPITALS CORPORATION PLC,LHCL.N0000,44.00,223732169.00,9844215436.00,Health Care Equipment & Services
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,116.00,82978868.00,9625548688.00,Diversified Financials
AMANA BANK PLC,ABL.N0000,3.70,2601446155.00,9625350774.00,Banks
HAYCARB PLC,HAYC.N0000,316.00,29712375.00,9389110500.00,Materials
HATTON NATIONAL BANK PLC,HNB.X0000,92.00,101656112.00,9352362304.00,Banks
LOLC DEVELOPMENT FINANCE PLC,NIFL.N0000,38.00,237943274.00,9041844412.00,Diversified Financials
PROPERTY DEVELOPMENT PLC,PDL.N0000,131.40,66000000.00,8672400000.00,Real Estate
SUNSHINE HOLDINGS PLC,SUN.N0000,57.80,149554103.00,8644227153.00,Food_ Beverage & Tobacco
SEYLAN BANK PLC,SEYB.X0000,32.30,260305975.00,8407882993.00,Banks
LANKA REALTY INVESTMENTS PLC,ASCO.N0000,38.20,211370428.00,8074350350.00,Real Estate
MERCANTILE INVESTMENTS AND FINANCE PLC,MERC.N0000,2600.00,3006000.00,7815600000.00,Diversified Financials
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,24.00,318074365.00,7633784760.00,Diversified Financials
WATAWALA PLANTATIONS PLC,WATA.N0000,36.00,203308633.00,7319110788.00,Food_ Beverage & Tobacco
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,13.70,528457545.00,7239868367.00,Health Care Equipment & Services
R I L PROPERTY PLC,RIL.N0000,9.00,800000000.00,7200000000.00,Retailing
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,20.70,336290010.00,6961203207.00,Consumer Services
CIC HOLDINGS PLC,CIC.N0000,93.10,72900000.00,6786990000.00,Materials
JANASHAKTHI INSURANCE PLC,JINS.N0000,29.80,226526153.00,6750479359.00,Insurance
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.X0000,50.00,133650000.00,6682500000.00,Materials
SENKADAGALA FINANCE PLC,SFCL.N0000,92.00,72475061.00,6667705612.00,Diversified Financials
HNB ASSURANCE PLC,HASU.N0000,132.50,50000000.00,6625000000.00,Insurance
CEYLON INVESTMENT PLC,CINV.N0000,63.00,101338041.00,6384296583.00,Diversified Financials
KOTMALE HOLDINGS PLC,LAMB.N0000,201.10,31400000.00,6314540000.00,Food_ Beverage & Tobacco
KELANI TYRES PLC,TYRE.N0000,77.50,80400000.00,6231000000.00,Automobiles & Components
AMBEON HOLDINGS PLC,GREG.N0000,17.40,356869666.00,6209532188.00,Consumer Durables & Apparel
DIALOG FINANCE PLC,CALF.N0000,57.00,108783362.00,6200651634.00,Diversified Financials
UNITED MOTORS LANKA PLC,UML.N0000,60.00,100900626.00,6054037560.00,Retailing
SHALIMAR (MALAY) PLC,SHAL.N0000,1093.20,5397840.00,5900918688.00,Diversified Financials
FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,58.20,101250000.00,5892750000.00,Diversified Financials
ACL CABLES PLC,ACL.N0000,49.00,119787360.00,5869580640.00,Capital Goods
ODEL PLC,ODEL.N0000,21.00,272129431.00,5714718051.00,Retailing
PAN ASIA BANKING CORPORATION PLC,PABC.N0000,12.90,442561629.00,5709045014.00,Banks
LAUGFS GAS PLC,LGL.N0000,17.00,335000086.00,5695001462.00,Energy
VALLIBEL POWER ERATHNA PLC,VPEL.N0000,7.60,747109731.00,5678033956.00,Utilities
AMBEON CAPITAL PLC,TAP.N0000,5.60,1002724815.00,5615258964.00,Consumer Durables & Apparel
ALUMEX PLC,ALUM.N0000,18.00,299302840.00,5387451120.00,Materials
CEYLINCO INSURANCE PLC,CINS.X0000,830.00,6414480.00,5324018400.00,Insurance
LVL ENERGY FUND PLC,LVEF.N0000,9.00,582278117.00,5240503053.00,Utilities
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,86.80,59449080.00,5160180144.00,Diversified Financials
INDO MALAY PLC,INDO.N0000,1050.40,4811400.00,5053894560.00,Diversified Financials
VIDULLANKA PLC,VLL.N0000,6.00,837785465.00,5026712790.00,Utilities
COLOMBO DOCKYARD PLC,DOCK.N0000,68.00,71858924.00,4886406832.00,Capital Goods
COLOMBO LAND & DEVELOPMENT COMPANY PLC,CLND.N0000,24.40,199881008.00,4877096595.00,Real Estate
HAYLEYS FABRIC PLC,MGT.N0000,23.40,207740888.00,4861136779.00,Consumer Durables & Apparel
PEOPLE'S INSURANCE PLC,PINS.N0000,23.90,200000000.00,4780000000.00,Insurance
LANKA TILES PLC,TILE.N0000,89.40,53050410.00,4742706654.00,Capital Goods
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,77.00,60000000.00,4620000000.00,Food_ Beverage & Tobacco
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,66.60,67970701.00,4526848687.00,Banks
JETWING SYMPHONY PLC,JETS.N0000,9.00,502188559.00,4519697031.00,Consumer Services
LANKA MILK FOODS (CWE) PLC,LMF.N0000,110.50,39998000.00,4419779000.00,Food_ Beverage & Tobacco
PIRAMAL GLASS CEYLON PLC,GLAS.N0000,4.60,950086080.00,4370395968.00,Materials
LANKA WALLTILES PLC,LWL.N0000,78.40,54600000.00,4280640000.00,Capital Goods
HARISCHANDRA MILLS PLC,HARI.N0000,2200.00,1919600.00,4223120000.00,Food_ Beverage & Tobacco
GALADARI HOTELS (LANKA) PLC,GHLL.N0000,8.00,500829564.00,4006636512.00,Consumer Services
B P P L HOLDINGS PLC,BPPL.N0000,13.00,306843357.00,3988963641.00,Household & Personal Products
SELINSING PLC,SELI.N0000,700.00,5678247.00,3974772900.00,Diversified Financials
E B CREASY & COMPANY PLC,EBCR.N0000,1499.10,2535458.00,3800905088.00,Capital Goods
GOOD HOPE PLC,GOOD.N0000,947.20,3883782.00,3678718310.00,Diversified Financials
SANASA DEVELOPMENT BANK PLC,SDB.N0000,58.50,61050688.00,3571465248.00,Banks
VALLIBEL FINANCE PLC,VFIN.N0000,59.00,58863350.00,3472937650.00,Diversified Financials
JOHN KEELLS PLC,JKL.N0000,54.00,60800000.00,3283200000.00,Retailing
TRADE FINANCE & INVESTMENTS PLC,TFIL.N0000,56.30,56800400.00,3197862520.00,Diversified Financials
SOFTLOGIC CAPITAL PLC,SCAP.N0000,4.60,688160000.00,3165536000.00,Insurance
NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,133.00,23750000.00,3158750000.00,Food_ Beverage & Tobacco
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,350.00,8876437.00,3106752950.00,Retailing
ON'ALLY HOLDINGS PLC,ONAL.N0000,32.60,93003087.00,3031900636.00,Real Estate
THREE ACRE FARMS PLC,TAFL.N0000,127.50,23545000.00,3001987500.00,Food_ Beverage & Tobacco
THE COLOMBO FORT LAND & BUILDING PLC,CFLB.N0000,13.60,220336805.00,2996580548.00,Capital Goods
RICHARD PIERIS EXPORTS PLC,REXP.N0000,262.00,11163745.00,2924901190.00,Materials
NATIONS TRUST BANK PLC,NTB.X0000,75.00,38973031.00,2922977325.00,Banks
SINGER FINANCE (LANKA) PLC,SFIN.N0000,13.80,202074075.00,2788622235.00,Diversified Financials
THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000,4.80,577500000.00,2772000000.00,Consumer Services
KEELLS FOOD PRODUCTS PLC,KFP.N0000,108.30,25500000.00,2761650000.00,Food_ Beverage & Tobacco
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,17.50,156250000.00,2734375000.00,Food_ Beverage & Tobacco
HNB FINANCE PLC,HNBF.X0000,9.10,298200000.00,2713620000.00,Diversified Financials
CITRUS LEISURE PLC,REEF.N0000,10.00,267229723.00,2672297230.00,Consumer Services
KAHAWATTE PLANTATIONS PLC,KAHA.N0000,33.10,79889805.00,2644352546.00,Food_ Beverage & Tobacco
RENUKA AGRI FOODS PLC,RAL.N0000,4.70,561750000.00,2640225000.00,Food_ Beverage & Tobacco
SIERRA CABLES PLC,SIRA.N0000,4.90,537512430.00,2633810907.00,Capital Goods
LANKA ASHOK LEYLAND PLC,ASHO.N0000,719.20,3620843.00,2604110286.00,Capital Goods
ELPITIYA PLANTATIONS PLC,ELPL.N0000,35.00,72866428.00,2550324980.00,Food_ Beverage & Tobacco
RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,8.90,282207320.00,2511645148.00,Food_ Beverage & Tobacco
C T LAND DEVELOPMENT PLC,CTLD.N0000,30.80,81250000.00,2502500000.00,Real Estate
LANKA VENTURES PLC,LVEN.N0000,49.90,50000000.00,2495000000.00,Diversified Financials
THE KINGSBURY PLC,SERV.N0000,10.20,242000000.00,2468400000.00,Consumer Services
CEYLON HOSPITALS PLC (DURDANS),CHL.N0000,96.50,25527272.00,2463381748.00,Health Care Equipment & Services
HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SRI LANKA,HDFC.N0000,38.00,64710520.00,2458999760.00,Banks
LAUGFS POWER PLC,LPL.N0000,7.30,335000086.00,2445500628.00,Utilities
PANASIAN POWER PLC,PAP.N0000,3.90,625000000.00,2437500000.00,Utilities
KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,71.10,34000000.00,2417400000.00,Food_ Beverage & Tobacco
HUNTERS & COMPANY PLC,HUNT.N0000,466.30,5145000.00,2399113500.00,Retailing
PRINTCARE PLC,CARE.N0000,27.90,85966670.00,2398470093.00,Commercial & Professional Services
AGSTAR PLC,AGST.N0000,7.50,307526310.00,2306447325.00,Materials
MALWATTE VALLEY PLANTATIONS PLC,MAL.N0000,11.10,202792331.00,2250994874.00,Food_ Beverage & Tobacco
WASKADUWA BEACH RESORT PLC,CITW.N0000,4.00,559857096.00,2239428384.00,Consumer Services
ORIENT FINANCE PLC,BFN.N0000,10.60,211101155.00,2237672243.00,Diversified Financials
SWADESHI INDUSTRIAL WORKS PLC,SWAD.N0000,14900.00,149333.00,2225061700.00,Household & Personal Products
RENUKA HOTELS PLC,RCH.N0000,54.80,40297530.00,2208304644.00,Consumer Services
THE NUWARA ELIYA HOTELS COMPANY PLC,NEH.N0000,997.40,2186040.00,2180356296.00,Consumer Services
RENUKA FOODS PLC,COCO.N0000,18.00,117960106.00,2123281908.00,Food_ Beverage & Tobacco
RESUS ENERGY PLC,HPWR.N0000,27.60,75508262.00,2084028031.00,Utilities
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,21.80,94632904.00,2062997307.00,Materials
HATTON PLANTATIONS PLC,HPL.N0000,8.70,236666671.00,2059000038.00,Food_ Beverage & Tobacco
PEOPLE`S MERCHANT FINANCE PLC,PMB.N0000,9.60,210875000.00,2024400000.00,Diversified Financials
EQUITY TWO PLC,ETWO.N0000,64.00,31000000.00,1984000000.00,Real Estate
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,353.70,5608355.00,1983675164.00,Diversified Financials
KELANI CABLES PLC,KCAB.N0000,90.60,21800000.00,1975080000.00,Capital Goods
LEE HEDGES PLC,SHAW.N0000,75.40,25602730.00,1930445842.00,Real Estate
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,10.40,180030942.00,1872321797.00,Consumer Services
DANKOTUWA PORCELAIN PLC,DPL.N0000,11.50,162552920.00,1869358580.00,Consumer Durables & Apparel
BAIRAHA FARMS PLC,BFL.N0000,116.80,16000000.00,1868800000.00,Food_ Beverage & Tobacco
SEYLAN DEVELOPMENTS PLC,CSD.N0000,12.60,147964860.00,1864357236.00,Real Estate
ARPICO INSURANCE PLC,AINS.N0000,28.00,66230407.00,1854451396.00,Insurance
ABANS FINANCE PLC,AFSL.N0000,27.80,66561573.00,1850411729.00,Diversified Financials
KEGALLE PLANTATIONS PLC,KGAL.N0000,72.00,25000000.00,1800000000.00,Food_ Beverage & Tobacco
AMANA TAKAFUL PLC,ATL.N0000,9.70,180000130.00,1746001261.00,Insurance
CONVENIENCE FOODS (LANKA )PLC,SOY.N0000,618.10,2750000.00,1699775000.00,Food_ Beverage & Tobacco
CIC HOLDINGS PLC,CIC.X0000,76.30,21870000.00,1668681000.00,Materials
EAST WEST PROPERTIES PLC,EAST.N0000,12.00,138240000.00,1658880000.00,Real Estate
HIKKADUWA BEACH RESORT PLC,CITH.N0000,5.70,284898354.00,1623920618.00,Consumer Services
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,48.00,33696000.00,1617408000.00,Diversified Financials
MADULSIMA PLANTATIONS PLC,MADU.N0000,9.50,169501097.00,1610260422.00,Food_ Beverage & Tobacco
SERENDIB HOTELS PLC,SHOT.N0000,20.80,75514738.00,1570706550.00,Consumer Services
TAL LANKA HOTELS PLC,TAJ.N0000,11.20,139637494.00,1563939933.00,Consumer Services
ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,1.30,1189797899.00,1546737269.00,Consumer Services
SINGHE HOSPITALS PLC,SINH.N0000,3.50,431300895.00,1509553133.00,Health Care Equipment & Services
BROWNS BEACH HOTELS PLC,BBH.N0000,11.50,129600000.00,1490400000.00,Consumer Services
AMAYA LEISURE PLC,CONN.N0000,27.60,53994979.00,1490261420.00,Consumer Services
NATION LANKA FINANCE PLC,CSF.N0000,1.10,1353792606.00,1489171867.00,Diversified Financials
C. W. MACKIE PLC,CWM.N0000,40.80,35988556.00,1468333085.00,Retailing
TALAWAKELLE TEA ESTATES PLC,TPL.N0000,61.60,23750000.00,1463000000.00,Food_ Beverage & Tobacco
SWISSTEK (CEYLON) PLC,PARQ.N0000,52.00,27372000.00,1423344000.00,Materials
RENUKA HOLDINGS PLC,RHL.N0000,15.90,89034626.00,1415650553.00,Capital Goods
RENUKA CITY HOTEL PLC,RENU.N0000,200.00,7000000.00,1400000000.00,Consumer Services
SATHOSA MOTORS PLC,SMOT.N0000,228.40,6033622.00,1378079265.00,Retailing
PRIME FINANCE PLC,GSF.N0000,17.00,79200000.00,1346400000.00,Diversified Financials
MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,8.00,165717222.00,1325737776.00,Diversified Financials
SOFTLOGIC FINANCE PLC,CRL.N0000,12.50,103369280.00,1292116000.00,Diversified Financials
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,14.90,83750000.00,1247875000.00,Food_ Beverage & Tobacco
CENTRAL INDUSTRIES PLC,CIND.N0000,59.90,20698110.00,1239816789.00,Capital Goods
BIMPUTH FINANCE PLC,BLI.N0000,11.40,107733344.00,1228160122.00,Diversified Financials
THE LIGHTHOUSE HOTEL PLC,LHL.N0000,26.60,46000000.00,1223600000.00,Consumer Services
EDEN HOTEL LANKA PLC,EDEN.N0000,11.50,105600000.00,1214400000.00,Consumer Services
THE FORTRESS RESORTS PLC,RHTL.N0000,10.40,110886684.00,1153221514.00,Consumer Services
C M HOLDINGS PLC,COLO.N0000,75.10,15200000.00,1141520000.00,Retailing
INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,0.30,3749411250.00,1124823375.00,Materials
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,93.00,12000000.00,1116000000.00,Real Estate
LANKEM CEYLON PLC,LCEY.N0000,32.50,33853200.00,1100229000.00,Capital Goods
ASIA ASSET FINANCE PLC,AAF.N0000,8.80,124195533.00,1092920690.00,Diversified Financials
THE AUTODROME PLC,AUTO.N0000,89.10,12000000.00,1069200000.00,Retailing
TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,34.70,30000000.00,1041000000.00,Food_ Beverage & Tobacco
CHEMANEX PLC,CHMX.N0000,66.00,15707312.00,1036682592.00,Materials
EASTERN MERCHANTS PLC,EMER.N0000,8.80,117446000.00,1033524800.00,Retailing
LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,74.80,13702823.00,1024971160.00,Materials
ASIA CAPITAL PLC,ACAP.N0000,7.80,131329995.00,1024373961.00,Diversified Financials
HAYLEYS FIBRE PLC,HEXP.N0000,125.00,8000000.00,1000000000.00,Consumer Durables & Apparel
MAHAWELI COCONUT PLANTATIONS PLC,MCPL.N0000,28.40,34996115.00,993889666.00,Food_ Beverage & Tobacco
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,55.00,18031995.00,991759725.00,Real Estate
MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000,7.30,134681320.00,983173636.00,Real Estate
PEGASUS HOTELS OF CEYLON PLC,PEG.N0000,32.00,30391538.00,972529216.00,Consumer Services
AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,45.50,21300000.00,969150000.00,Food_ Beverage & Tobacco
ASIA SIYAKA COMMODITIES PLC,ASIY.N0000,3.70,260000000.00,962000000.00,Diversified Financials
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,755.20,1272857.00,961261606.40,Real Estate
REGNIS(LANKA) PLC,REG.N0000,82.00,11267863.00,923964766.00,Consumer Durables & Apparel
