company_name,symbol,price, issued_quantity ,market_cap,gics_type
CEYLON TOBACCO COMPANY PLC,CTC.N0000,970," 187,323,751 ","181,704,000,000.00",Food_ Beverage & Tobacco
JOHN KEELLS HOLDINGS PLC,JKH.N0000,131.3," 1,318,550,768 ","173,126,000,000.00",Capital Goods
DIALOG AXIATA PLC,DIAL.N0000,11," 8,173,809,105 ","89,911,900,155.00",Telecommunication Services
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,76.3," 1,098,934,937 ","83,848,735,693.00",Banks
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,18.2," 4,600,000,000 ","83,720,000,000.00",Food_ Beverage & Tobacco
CEYLON COLD STORES PLC,CCS.N0000,667.4," 95,040,000 ","63,429,696,000.00",Food_ Beverage & Tobacco
LOLC HOLDINGS PLC,LOLC.N0000,122.7," 475,200,000 ","58,307,040,000.00",Diversified Financials
NESTLE LANKA PLC,NEST.N0000,1080," 53,725,463 ","58,023,500,040.00",Food_ Beverage & Tobacco
SRI LANKA TELECOM PLC,SLTL.N0000,31.7," 1,804,860,000 ","57,214,062,000.00",Telecommunication Services
CARSON CUMBERBATCH PLC,CARS.N0000,288," 196,386,914 ","56,559,431,232.00",Food_ Beverage & Tobacco
HATTON NATIONAL BANK PLC,HNB.N0000,120," 410,319,604 ","49,238,352,480.00",Banks
CARGILLS (CEYLON) PLC,CARG.N0000,185.3," 257,221,043 ","47,663,059,267.00",Food & Staples Retailing
SAMPATH BANK PLC,SAMP.N0000,124.8," 381,457,985 ","47,605,956,528.00",Banks
LION BREWERY CEYLON PLC,LION.N0000,550," 80,000,000 ","44,000,000,000.00",Food_ Beverage & Tobacco
HEMAS HOLDINGS PLC,HHL.N0000,72," 596,043,425 ","42,915,126,600.00",Capital Goods
BUKIT DARAH PLC,BUKI.N0000,395," 102,000,000 ","40,290,000,000.00",Food_ Beverage & Tobacco
BROWNS INVESTMENTS PLC,BIL.N0000,2.6," 14,369,717,460 ","37,361,265,396.00",Food_ Beverage & Tobacco
MELSTACORP PLC,MELS.N0000,31.6," 1,165,397,072 ","36,826,547,475.00",Food_ Beverage & Tobacco
CEYLINCO INSURANCE PLC,CINS.N0000,1750.2," 20,000,000 ","35,004,000,000.00",Insurance
C T HOLDINGS PLC,CTHR.N0000,159.5," 201,406,978 ","32,124,412,991.00",Food & Staples Retailing
COMMERCIAL LEASING & FINANCE PLC,CLC.N0000,4.9," 6,377,711,170 ","31,250,784,733.00",Diversified Financials
EXPOLANKA HOLDINGS PLC,EXPO.N0000,15.7," 1,954,915,000 ","30,692,165,500.00",Transportation
RICHARD PIERIS AND COMPANY PLC,RICH.N0000,13.5," 2,035,038,275 ","27,473,016,712.00",Capital Goods
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,23.2," 1,137,533,596 ","26,390,779,427.00",Health Care Equipment & Services
VALLIBEL ONE PLC,VONE.N0000,22," 1,086,559,353 ","23,904,305,766.00",Capital Goods
ACCESS ENGINEERING PLC,AEL.N0000,23," 1,000,000,000 ","23,000,000,000.00",Capital Goods
TEEJAY LANKA PLC,TJL.N0000,32.6," 701,956,580 ","22,883,784,508.00",Consumer Durables & Apparel
PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,12.5," 1,627,703,388 ","20,346,292,350.00",Diversified Financials
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,84.2," 240,000,000 ","20,208,000,000.00",Materials
LOLC FINANCE PLC,LOFC.N0000,3.8," 5,250,000,000 ","19,950,000,000.00",Diversified Financials
HAYLEYS PLC,HAYL.N0000,265," 75,000,000 ","19,875,000,000.00",Capital Goods
DFCC BANK PLC,DFCC.N0000,63.8," 305,997,250 ","19,522,624,550.00",Banks
NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,81.9," 232,637,231 ","19,052,989,218.00",Banks
L B FINANCE PLC,LFIN.N0000,136.9," 138,514,284 ","18,962,605,479.00",Diversified Financials
UNION ASSURANCE PLC,UAL.N0000,305," 58,928,572 ","17,973,214,460.00",Insurance
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,77," 224,024,987 ","17,249,923,999.00",Diversified Financials
SINGER (SRI LANKA) PLC,SINS.N0000,45.3," 375,628,830 ","17,015,985,999.00",Retailing
OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,13.1," 1,243,029,582 ","16,283,687,524.00",Real Estate
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,769.5," 20,988,090 ","16,150,335,255.00",Food_ Beverage & Tobacco
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,60," 267,300,000 ","16,038,000,000.00",Materials
HNB FINANCE PLC,HNBF.N0000,11.1," 1,421,380,624 ","15,777,324,926.00",Diversified Financials
