province	division	num	id_list	police_station	phone_mobile	phone_office	fax
Western	Colombo Central	1	LK-1103115	Pettah	071-8591555	011-2323677	011-2421515
Western	Colombo Central	2	LK-1103145	Keselwatta	071-8591556	011-2384091	011-2421944
Western	Colombo Central	3		Dam Street	071-8591557	-	011-2432612
Western	Colombo Central	4		Woulfendal	071-8591558	-	011-2323356
Western	Colombo Central	5	LK-1103120	Fort	071-8591560	011-2432635	011-2433744
Western	Colombo Central	6	LK-1103130	Slave Island	071-8591561	011-2384382	011-2433829
Western	Colombo Central	7	LK-1103165	Maradana	071-8591563	011-2692888	011-2692748
Western	Colombo Central	8	LK-1103090,LK-1103155	Maligawatta	071-8591564	011-2342041	011-2434135
Western	Colombo North	9		Colombo Harbour	071-8591567	011-2328903	011-2320980
Western	Colombo North	10		Fore shore	071-8591568	011-2436349	011-2434595
Western	Colombo North	11	LK-1103015	Modara	071-8591570	011-2523058	011-2524411
Western	Colombo North	12	LK-1103045,LK-1103050	Kotahena	071-8591571	011-2435653	011-2431861
Western	Colombo North	13	LK-1103010	Mattakkuliya	071-8591572	-	011-2521761
Western	Colombo North	14		Bluemandal	071-8591573	-	011-2522733
Western	Colombo North	15	LK-1103075,LK-1103080	Grandpass	071-8591575	011-2436258	011-2421414
Western	Colombo North	16	LK-1127030	Dematagoda	071-8591576	011-2693319	011-2693838
Western	Colombo South	17	LK-1127005	Kollupitiya	071-8591579	011-2320131	011-2323689
Western	Colombo South	18	LK-1127010	Bambalapitiya	071-8591580	011-2583208	011-2588680
Western	Colombo South	19	LK-1127080	Kirulapone	071-8591582	011-2514634	011-2513531
Western	Colombo South	20	LK-1127085,LK-1127090	Wellawatta	071-8591583	011-2364860	011-2588212
Western	Colombo South	21	LK-1127055	Narahenpita	071-8591584	011-2588638	011-2368242
Western	Colombo South	22		BMICH	071-8591586	011-2691140	011-2691132
Western	Colombo South	23	LK-1127045,LK-1127040	Borella	071-8591587	011-2694019	011-2693938
Western	Colombo South	24		Cinnamon Garden	071-8591588	011-2693377	011-2695411
Western	Kelaniya	25	LK-1236130,LK-1236135	Peliyagoda	071-8591592	011-2910608	011-2911222
Western	Kelaniya	26	LK-1236,LK-1236160	Kelaniya	071-8591593	011-2914666	011-2911922
Western	Kelaniya	27	LK-1221175,LK-1221180	Kandana	071-8591595	011-2236895	011-2236333
Western	Kelaniya	28	LK-1218,LK-1218180	Wattala	071-8591596	011-2932222	011-2930222
Western	Kelaniya	29	LK-1218080	Mahabage	071-8591597	-	011-2948469
Western	Kelaniya	30	LK-1239125	Sapugaskanda	071-8591599	011-2400316	011-2400315
Western	Kelaniya	31	LK-1239,LK-1239225,LK-1239160,LK-1239220,LK-1239165	Biyagama	071-8591600	011-2487306	011-2487574
Western	Kelaniya	32	LK-1236120,LK-1239030,LK-1239025,LK-1230390	Meegahawatta	071-8591601	-	011-2977233
Western	Kelaniya	33		Ja - Ela	071-8591603	011-2236131	011-2236222
Western	Kelaniya	34	LK-1221270	Ragama	071-8591604	011-2957197	011-2958222
Western	Kelaniya	35	LK-1236025	Kiribathgoda	071-8591606	011-2910494	011-2914985
Western	Kelaniya	36		Kadawatha	071-8591607	011-2925258	011-2925222
Western	Gampaha	37	LK-1224,LK-1224270,LK-1224070,LK-1224130	Gampaha	071-8591611	033-2222226	033-2222224
Western	Gampaha	38	LK-1215,LK-1215125,LK-1215120,LK-1215175	Minuwangoda	071-8591612	011-2295223	011-2295222
Western	Gampaha	39	LK-1230070	Kirindiwela	071-8591614	033-2267445	033-2267222
Western	Gampaha	40	LK-1230,LK-1230530	Dompe	071-8591615	011-2409922	011-2409222
Western	Gampaha	41		Pugoda	071-8591616	011-2405222	011-2405224
Western	Gampaha	42	LK-1224340,LK-1224335	Ganemulla	071-8591618	033-2260911	033-2260222
Western	Gampaha	43		Weeragula	071-8591619	033-2278020	033-2279442
